Statistic,Value
Number of steps,5
Total profit,928.5
Max step profit,250
Average profit for step,185.7
Min step profit,21
Max inutilized budget percentage,79.53
Average inutilized budget percentage,23.974
Min inutilized budget percentage,2.72
Max number of offers in a step,5
Average number of offers per step,2.4
Min number of offers in a step,1
Max remaining budget,3107.5
Average remaining budget,894.8
Min remaining budget,94.5
