bookmaker,earning,budget_needed,roi,time_needed,completed,step_num
Bwin,8.5,50,0.16,1,False,1
Williamhill,45,325,0.1385,30,False,1
Bet365,70,700,0.1,7,False,1
Leovegas,90,1400,0.0643,10,False,1
Unibet,6,120,0.05,14,False,1
Planetwin365,220,2500,0.088,7,False,2
Domusbet,30,550,0.0545,10,False,2
Eurobet,200,2375,0.0842,8,False,3
E-play24,17,450,0.0378,3,False,3
Starcasino,11,550,0.02,10,False,3
Snai,210,3000,0.07,10,False,4
Novibet,21,800,0.0263,7,False,5
