Parameter,Min,Max,Avg
step_profit,85,433.5,N/A
profit_for_step,N/A,N/A,309.5
remaining_budget,25,3373.5,1152.33
num_offers_per_step,2,5,4.0
inutilized_budget_percentage,0.5,57.731,19.77
